"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Jack Brereton",,"Conservative","Stoke-on-Trent South",,
"Jack Dromey ","@JackDromeyMP","Labour","Birmingham, Erdington",25200,-7
"Jack Lopresti ","@JackLopresti","Conservative","Filton and Bradley Stoke",9306,3
"Jackie Doyle-Price ","@JackieDP","Conservative","Thurrock",13976,-2
"Jacob Rees-Mogg ","@Jacob_Rees_Mogg","Conservative","North East Somerset",447682,55
"Jacob Young","@JacobYoungMP","Conservative","Redcar",11187,5
"Jake Berry ","@JakeBerry","Conservative","Rossendale and Darwen",20504,0
"James Brokenshire ","@JBrokenshire","Conservative","Old Bexley and Sidcup",31083,-1
"James Cartlidge ","@jcartlidgemp","Conservative","South Suffolk",10362,10
"James Cleverly ","@JamesCleverly","Conservative","Braintree",111296,84
"James Daly","@JamesDalyMP","Conservative","Bury North",5914,1
"James Davies","@JamesDavies","Conservative","Vale of Clwyd",6133,1
"James Duddridge ","@JamesDuddridge","Conservative","Rochford and Southend East",32110,-1
"James Gray ","@JGray","Conservative","North Wiltshire",18991,-2
"James Grundy",,"Conservative","Leigh",,
"James Heappey ","@JSHeappey","Conservative","Wells",18966,23
"James Morris","@JamesMorris","Conservative","Halesowen and Rowley Regis",9473,3
"James Murray","@jamesmurray_ldn","Labour","Ealing North",9238,3
"James Sunderland","@JamesSunderl","Conservative","Bracknell",3848,3
"James Wild","@jamesowild","Conservative","North West Norfolk",3019,1
"Jamie Hamilton Wallis","@JamieWallisMP","Conservative","Bridgend",3209,2
"Jamie Stone","@Jamie4North","Liberal Democrat","Caithness, Sutherland and Easter Ross",13807,-2
"Jane Hunt","@JaneMHunt","Conservative","Loughborough",3482,4
"Jane Stevenson","@Jane_Stevenson_","Conservative","Wolverhampton North East",5597,6
"Janet Daby","@JanetDaby","Labour","Lewisham East",12332,-2
"Jason McCartney ","@JasonMcCartney","Conservative","Colne Valley",17967,0
"Jeff Smith ","@JeffSmithetc","Labour","Manchester, Withington",11461,-2
"Jeffrey M. Donaldson ","@J_Donaldson_MP","Democratic Unionist Party","Lagan Valley",28393,6
"Jeremy Corbyn ","@jeremycorbyn","Independent","Islington North",2459478,72
"Jeremy Hunt ","@Jeremy_Hunt","Conservative","South West Surrey",225134,0
"Jeremy Quin",,"Conservative","Horsham",,
"Jeremy Wright",,"Conservative","Kenilworth and Southam",,
"Jerome Mayhew","@JeromeMayhew","Conservative","Broadland",3073,5
"Jess Phillips ","@jessphillips","Labour","Birmingham, Yardley",518153,128
"Jesse Norman ","@Jesse_Norman","Conservative","Hereford and South Herefordshire",26599,-1
"Jessica Morden ","@jessicamordenmp","Labour","Newport East",14767,0
"Jill Mortimer",,"Conservative","Hartlepool",,
"Jim McMahon ","@JimfromOldham","Labour","Oldham West and Royton",28791,2
"Jim Shannon ","@JimShannonMP","Democratic Unionist Party","Strangford",4314,1
"Jo Churchill ","@Jochurchill_MP","Conservative","Bury St Edmunds",13804,4
"Jo Gideon","@jogideon","Conservative","Stoke-on-Trent Central",5161,9
"Jo Stevens ","@JoStevensLabour","Labour","Cardiff Central",34409,-4
"Joanna Cherry QC ","@joannaccherry","Scottish National Party","Edinburgh South West",118422,22
"John Baron",,"Conservative","Basildon and Billericay",,
"John Cryer","@JohnCryerMP","Labour","Leyton and Wanstead",6666,3
"John Finucane","@johnfinucane","Sinn Féin","Belfast North",33955,2
"John Glen ","@JohnGlenUK","Conservative","Salisbury",23769,5
"John Hayes",,"Conservative","South Holland and The Deepings",,
"John Healey ","@JohnHealey_MP","Labour","Wentworth and Dearne",31927,1
"John Howell ","@JHowellUK","Conservative","Henley",8267,5
"John Lamont","@John2Win","Conservative","Berwickshire, Roxburgh and Selkirk",12094,3
"John McDonnell ","@johnmcdonnellMP","Labour","Hayes and Harlington",307735,21
"John Nicolson ","@MrJohnNicolson","Scottish National Party","Ochil and South Perthshire",41753,-1
"John Penrose ","@JohnPenroseNews","Conservative","Weston-super-Mare",37458,4
"John Redwood ","@johnredwood","Conservative","Wokingham",128380,65
"John Spellar ","@spellar","Labour","Warley",11909,-3
"John Stevenson ","@John4Carlisle","Conservative","Carlisle",14101,2
"John Whittingdale ","@JWhittingdale","Conservative","Maldon",9060,2
"Johnny McNally","@JohnMcNallySNP","Scottish National Party","Falkirk",9463,-1
"Johnny Mercer ","@JohnnyMercerUK","Conservative","Plymouth, Moor View",114091,914
"Jon Cruddas ","@JonCruddas_1","Labour","Dagenham and Rainham",21727,-1
"Jon Trickett ","@jon_trickett","Labour","Hemsworth",89181,288
"Jonathan Ashworth ","@JonAshworth","Labour","Leicester South",113513,-3
"Jonathan Djanogly ","@JDjanogly","Conservative","Huntingdon",19546,2
"Jonathan Edward Gullis",,"Conservative","Stoke-on-Trent North",,
"Jonathan Edwards ",,"Independent","Carmarthen East and Dinefwr",,
"Jonathan Lord","@JonathanLord","Conservative","Woking",3058,1
"Jonathan Reynolds ","@jreynoldsMP","Labour","Stalybridge and Hyde",53115,-1
